airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-15,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,08:10:00,12:35:00,1705,2.0,No Info,14300
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,In-flight meal not included,13502
Multiple Carriers,2019-05-18,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7997
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,In-flight meal not included,8834
Air India,2019-03-09,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,4960
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,19:10:00,1355,1.0,In-flight meal not included,11087
Spicejet,2019-03-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,6300
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,11789
Air Asia,2019-06-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-15,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4050
Goair,2019-06-24,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4692
Spicejet,2019-04-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Jet Airways,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10577
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,No Info,13759
Indigo,2019-04-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7564
Indigo,2019-04-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4990
Air India,2019-06-06,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,15:05:00,1120,1.0,No Info,13067
Indigo,2019-05-18,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,10958
Jet Airways,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Air India,2019-05-09,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,10861
Vistara,2019-05-18,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,15058
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,No Info,14714
Indigo,2019-03-12,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Indigo,2019-03-21,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,6223
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3625
Spicejet,2019-05-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-05-06,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Indigo,2019-05-27,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-06-24,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Air India,2019-05-24,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10623
Goair,2019-04-09,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,4106
Jet Airways,2019-03-21,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,In-flight meal not included,7832
Goair,2019-05-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,7682
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,14781
Goair,2019-04-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,6722
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,12767
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,18:10:00,1515,1.0,No Info,14231
Spicejet,2019-03-18,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3859
Air India,2019-03-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2575
Air India,2019-03-06,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No Info,14143
Indigo,2019-05-18,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,7191
Jet Airways,2019-05-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,In-flight meal not included,9134
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Air India,2019-04-01,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,8610
Indigo,2019-04-21,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2240,2.0,No Info,12341
Goair,2019-06-06,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Air India,2019-06-12,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Air India,2019-05-09,Kolkata,Banglore,14:30:00,23:15:00,525,2.0,No Info,14214
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,22:20:00,555,1.0,No Info,14153
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10678
Vistara,2019-04-06,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5969
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,In-flight meal not included,15136
Air India,2019-05-12,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,18:45:00,1545,1.0,No Info,13100
Spicejet,2019-06-06,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Indigo,2019-05-18,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,8216
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,14714
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,7851
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,8586
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,No Info,12284
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,12242
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,04:25:00,660,1.0,No Info,15554
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Air Asia,2019-06-01,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,11410
Air India,2019-03-24,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No Info,10808
Air Asia,2019-03-09,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4384
Indigo,2019-06-15,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,3943
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Air India,2019-06-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Air India,2019-06-01,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Jet Airways,2019-05-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Indigo,2019-03-09,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No Info,4778
Air India,2019-04-03,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,4647
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6979
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,23:00:00,845,1.0,In-flight meal not included,6992
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,11265
Air India,2019-05-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Air India,2019-06-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8456
Vistara,2019-04-27,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Spicejet,2019-03-18,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,4377
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,21:20:00,1485,1.0,In-flight meal not included,11087
Air India,2019-06-03,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6961
Air India,2019-03-06,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8854
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13941
Indigo,2019-05-01,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3809
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Jet Airways,2019-03-03,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,17234
Vistara,2019-04-09,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,5586
Multiple Carriers,2019-06-01,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Air India,2019-05-15,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,15532
Jet Airways,2019-04-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Indigo,2019-06-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Jet Airways,2019-06-24,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,No Info,13555
Jet Airways,2019-05-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Vistara,2019-06-03,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Indigo,2019-06-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Multiple Carriers,2019-05-21,Delhi,Cochin,02:15:00,11:50:00,575,1.0,No Info,14067
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Indigo,2019-06-06,Kolkata,Banglore,10:30:00,16:05:00,335,1.0,No Info,6301
Air Asia,2019-05-21,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Spicejet,2019-04-09,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-03-06,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,15974
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Multiple Carriers,2019-06-15,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Indigo,2019-03-03,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,7295
Indigo,2019-06-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,6316
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Air India,2019-06-24,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,6587
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,13378
Indigo,2019-05-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,9021
Indigo,2019-03-03,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No Info,14871
Air India,2019-03-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,9064
Indigo,2019-04-06,Delhi,Cochin,10:35:00,15:35:00,300,1.0,No Info,5073
Air India,2019-05-18,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13941
Jet Airways,2019-03-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,15078
Air India,2019-03-12,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5747
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Multiple Carriers,2019-05-09,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7575
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13591
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,14676
Indigo,2019-04-06,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Indigo,2019-03-21,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,6558
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13731
Air India,2019-04-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Multiple Carriers,2019-06-06,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13727
Air India,2019-05-15,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No Info,11281
Air India,2019-06-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,12199
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,18:50:00,535,1.0,In-flight meal not included,15400
Jet Airways,2019-05-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2759
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,13067
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,7229
Air Asia,2019-03-21,Delhi,Cochin,20:10:00,07:10:00,660,1.0,No Info,6151
Air India,2019-06-09,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No Info,11668
Spicejet,2019-05-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12395
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,22:35:00,1610,1.0,No Info,13759
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-03-09,Delhi,Cochin,15:55:00,04:25:00,750,2.0,No Info,19172
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No Info,13941
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Indigo,2019-03-03,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,6565
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9555
Indigo,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,13:15:00,860,1.0,In-flight meal not included,11087
Indigo,2019-05-01,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14178
Air India,2019-03-12,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,11707
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,195,0.0,No Info,9564
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,7615
Air India,2019-05-15,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Jet Airways,2019-06-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12557
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,18:25:00,570,1.0,No Info,26890
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,8016
Air India,2019-06-06,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,7662
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No Info,12395
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Air India,2019-06-12,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,6117
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,08:10:00,795,1.0,No Info,14231
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Air India,2019-05-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,14424
Goair,2019-03-15,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,7657
Air Asia,2019-05-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Indigo,2019-05-06,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3809
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Indigo,2019-04-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,10529
Indigo,2019-03-09,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,7303
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,09:25:00,1555,1.0,No Info,12395
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,15353
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Indigo,2019-04-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Air India,2019-04-01,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,9258
Spicejet,2019-05-12,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8844
Indigo,2019-06-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Indigo,2019-03-03,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,14871
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Air Asia,2019-06-15,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,6853
Spicejet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Air India,2019-05-06,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,13538
Multiple Carriers,2019-03-27,Delhi,Cochin,15:15:00,01:35:00,620,1.0,No Info,6427
